epoch,val_loss,effective_k,effective_k_nobypass,bypass_fraction,selection_perplexity,dead_mode_count,mean_max_p
0,1.6329423189163208,7.443983554840088,6.687278747558594,0.2311827689409256,8.373773574829102,0,0.19297181069850922
1,1.2690836191177368,7.416996002197266,6.180767059326172,0.33233603835105896,8.735665321350098,0,0.15980595350265503
2,1.029975175857544,7.782830715179443,5.918797492980957,0.4690374433994293,8.535847663879395,0,0.17307186126708984
3,0.9304600358009338,8.971663475036621,6.064163684844971,0.7526565790176392,8.544805526733398,1,0.175931915640831
4,0.9206826090812683,9.241819381713867,6.032688617706299,0.822837769985199,8.546391487121582,1,0.17906077206134796
5,0.8672549724578857,9.089327812194824,5.817643165588379,0.7991275191307068,8.520127296447754,1,0.17721843719482422
6,0.8652967214584351,9.093055725097656,5.671273708343506,0.8086265921592712,8.479909896850586,1,0.18016639351844788
7,0.8027110695838928,9.037692070007324,5.5039801597595215,0.8057834506034851,8.405842781066895,1,0.18481610715389252
8,0.7885509133338928,9.125075340270996,5.44258451461792,0.8289228677749634,8.403716087341309,1,0.18812978267669678
9,0.796013355255127,9.105042457580566,5.365854740142822,0.8295339941978455,8.365320205688477,1,0.19222508370876312
10,0.7521859407424927,9.06196117401123,5.292901992797852,0.8254677057266235,8.312121391296387,1,0.19767777621746063
11,0.785380482673645,9.024198532104492,5.245516300201416,0.821241557598114,8.265684127807617,1,0.20317652821540833
12,0.7811018228530884,8.959661483764648,5.179013252258301,0.8108417391777039,8.204854965209961,1,0.20525231957435608
13,0.7501828670501709,9.073493957519531,5.290095806121826,0.8307918906211853,8.3212308883667,1,0.2032972127199173
14,0.7516043186187744,8.986459732055664,5.270787715911865,0.8149370551109314,8.292659759521484,1,0.20465140044689178
15,0.7402202486991882,8.981452941894531,5.325773239135742,0.8127619028091431,8.336031913757324,1,0.203413724899292
16,0.7314684987068176,8.9746675491333,5.3409104347229,0.8112136721611023,8.349878311157227,1,0.2030152529478073
17,0.737389087677002,8.950909614562988,5.342161655426025,0.8062373995780945,8.350650787353516,1,0.20177769660949707
18,0.7172574996948242,8.906166076660156,5.316815376281738,0.7982308268547058,8.327807426452637,1,0.20188622176647186
19,0.7278425693511963,8.983799934387207,5.378535270690918,0.8119564056396484,8.381217956542969,1,0.20142686367034912
20,0.7211636304855347,8.936601638793945,5.343568801879883,0.8037062883377075,8.35287857055664,1,0.2016788274049759
21,0.7212089896202087,8.927778244018555,5.334342956542969,0.8022710680961609,8.342822074890137,1,0.20211170613765717
22,0.7215633392333984,8.95316219329834,5.355914115905762,0.8067356944084167,8.357808113098145,1,0.20226304233074188
23,0.7146216630935669,8.862552642822266,5.297867774963379,0.7905519604682922,8.30347728729248,1,0.20297987759113312
24,0.7192925810813904,8.947918891906738,5.375732421875,0.8047019839286804,8.371132850646973,1,0.20093348622322083
25,0.7095020413398743,8.862475395202637,5.3360161781311035,0.7888686060905457,8.330896377563477,1,0.2008703202009201
26,0.7231405377388,8.895068168640137,5.370632171630859,0.7941467761993408,8.359504699707031,1,0.19976237416267395
