n_samples,strategy,hidden,n_classes,params,mse,nll,seconds
200,SEP_HEADS,32,5,751,0.5012824535369873,0.9823653697967529,4.849503502016887
200,SEP_HEADS,64,5,1487,0.46300825476646423,0.9396753907203674,5.025802246062085
200,SEP_HEADS,128,5,2959,0.4243565797805786,0.9280986785888672,3.646837556036189
200,SINGLE_N,32,5,753,0.45656079053878784,0.9588666558265686,4.127429433981888
200,SINGLE_N,64,5,1489,0.47430479526519775,0.9098294973373413,4.095667068962939
200,SINGLE_N,128,5,2961,0.47720086574554443,0.9492303133010864,1.2158504399703816
200,SINGLE_FIN,32,5,487,0.46968910098075867,0.9392350316047668,2.649056202964857
200,SINGLE_FIN,64,5,967,0.43862923979759216,0.9852709174156189,1.759969613980502
200,SINGLE_FIN,128,5,1927,0.46654602885246277,0.9700348377227783,2.5222189909545705
500,SEP_HEADS,32,5,751,0.3773227035999298,0.8595218658447266,9.62271330296062
500,SEP_HEADS,64,5,1487,0.39428406953811646,0.8659513592720032,14.24684499297291
500,SEP_HEADS,128,5,2959,0.4164995849132538,0.8905010223388672,13.202347784070298
500,SINGLE_N,32,5,753,0.35407185554504395,0.6927981376647949,5.848297325079329
500,SINGLE_N,64,5,1489,0.3685954809188843,0.7703951001167297,6.112085584900342
500,SINGLE_N,128,5,2961,0.38285791873931885,0.7416661381721497,3.623386154999025
500,SINGLE_FIN,32,5,487,0.37953463196754456,0.7277421355247498,3.82932040898595
500,SINGLE_FIN,64,5,967,0.37122440338134766,0.7796139717102051,4.146205956931226
500,SINGLE_FIN,128,5,1927,0.40950530767440796,0.8855104446411133,5.019297759048641
1500,SEP_HEADS,32,5,751,0.41983360052108765,0.8557243943214417,38.72639791993424
1500,SEP_HEADS,64,5,1487,0.37426039576530457,0.7673746943473816,36.25475015398115
1500,SEP_HEADS,128,5,2959,0.4227343797683716,0.8018264174461365,25.96240474190563
1500,SINGLE_N,32,5,753,0.4030380845069885,0.7928871512413025,14.679358567926101
1500,SINGLE_N,64,5,1489,0.42402276396751404,0.8179490566253662,7.306583384983242
1500,SINGLE_N,128,5,2961,0.3840416669845581,0.8341413140296936,16.4111960780574
1500,SINGLE_FIN,32,5,487,0.4156942367553711,0.7928533554077148,9.227363497018814
1500,SINGLE_FIN,64,5,967,0.37951916456222534,0.7872793078422546,16.10861758107785
1500,SINGLE_FIN,128,5,1927,0.41967764496803284,0.8000001311302185,13.568519276101142
