head,count,mean,std,min,25%,50%,75%,max
0,40.0,0.06274221108768822,0.14054756474472668,0.0038499240912113386,0.004741862563784825,0.005414129264750543,0.017321182455264487,0.6346630596299109
1,40.0,0.663394905057072,0.3115418546235599,0.06388305810131258,0.4931659411286723,0.6309854925398696,0.8444904250600014,1.551727449177279
2,40.0,0.11084333007568081,0.08059303502173003,0.027829178862828437,0.06703475752675593,0.09793845572443795,0.12180537761854507,0.5407724696769736
3,40.0,0.23124293315584898,0.07946892511507014,0.07549725710783775,0.1836062207471474,0.23895403848021313,0.27770554112471235,0.42301019062751566
4,40.0,0.18988407987337522,0.14327320849692618,0.011800386888883293,0.05930729001218028,0.16654829479679367,0.28723851557266983,0.5351727288190775
