sigma,max_k,reg,mean_k,mse
0.05,10,elbo,2.0,0.012483026832342148
0.05,10,none,369844416.0,0.005878917407244444
0.3,10,elbo,2.0,0.13394826650619507
0.3,10,none,328087776.0,0.11971759796142578
1.0,10,elbo,2.0,1.099366307258606
1.0,10,none,5.327777862548828,1.1110018491744995
