dataset,strategy,selection,regularization,loss,beta,target_transform,opt_strategy,mse,nll,crps,nll_mixture,mean_k,seconds,error
b1_gravitational,single_head_final_output,soft_gating,elbo,nll,0.5,none,regression_only,0.03741651028394699,-0.87721186876297,0.07735828278708742,,2.2977778911590576,85.10278837592341,
b1_gravitational,single_head_final_output,none,none,nll,0.5,none,regression_only,0.06562093645334244,-0.47682008147239685,0.11642152236752978,,,36.943631931208074,
b1_gravitational,separate_heads,none,none,nll,0.5,none,regression_only,0.10468790680170059,0.10310898721218109,0.17264457522197316,0.26163780675472026,,48.76967587391846,
heteroscedastic,single_head_final_output,soft_gating,elbo,nll,0.5,none,regression_only,1.612051248550415,1.3545218706130981,0.6335070782169275,,2.0,29.946383646922186,
heteroscedastic,single_head_final_output,ste,none,nll,0.5,none,regression_only,1.5574381351470947,1.3743700981140137,0.6281412846593348,,,17.239925351925194,
heteroscedastic,single_head_final_output,soft_gating,none,nll,0.5,none,regression_only,1.6249943971633911,1.3874682188034058,0.6331048747329945,,5.313725471496582,15.131262315902859,
bimodal,separate_heads,soft_gating,none,nll,0.5,none,regression_only,2.231412649154663,1.8307405710220337,0.8900813103325036,,4.305825233459473,18.052193637005985,
bimodal,single_head_final_output,soft_gating,elbo,nll,0.5,none,regression_only,2.3187432289123535,1.8395366668701172,0.9163731190776986,,2.0,43.781972117954865,
bimodal,single_head_final_output,soft_gating,none,nll,0.5,none,regression_only,2.322733163833618,1.8412930965423584,0.920891430858516,,,15.368047959869727,
