dataset,weights,max_layers,uq,layer_method,depth_reg,mse,mean_depth,seconds,error
b3_two_phase,shared,5,constant,soft_gating,cost_aware_elbo,0.08234844356775284,1.7717618942260742,127.399683695985,
b3_two_phase,shared,5,constant,gumbel_softmax,depth_penalty,0.08481157571077347,1.4756232500076294,103.83238051016815,
b3_two_phase,shared,5,constant,ste,elbo,0.08500205725431442,2.628000020980835,149.26074684108607,
piecewise,shared,5,constant,reinforce,none,0.26028063893318176,3.9833335876464844,6.463193498086184,
piecewise,shared,5,constant,soft_gating,elbo,0.26098501682281494,2.005707263946533,5.465801293030381,
piecewise,shared,5,constant,gumbel_softmax,elbo,0.2649121582508087,1.3726778030395508,11.450360877905041,
piecewise,shared,5,constant,ste,cost_aware_elbo,0.2733980715274811,2.491666793823242,5.78080456610769,
