model,n_seeds,mse_mean,mse_std,nll_mean,nll_std
FlexNN(ELBO),5,1.3875840425491333,0.0243730387849967,1.277088713645935,0.015673702281136685
LightGBM,5,1.3790979704034818,0.05356524951889036,1.5801967170760558,0.019417242444182862
ProbReg(k=3),5,2.096619462966919,0.3773070983394895,1.547165083885193,0.12188034578334529
PyTorchNN,5,1.4365113735198975,0.10186463542825591,1.366249680519104,0.10603384304705978
XGBoost,5,1.4922608375549316,0.10398983490357327,1.6549200057983398,0.02805055489086072
