dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
heteroscedastic,B,5,SOFT_GATING,NONE,123,21.0,1.813287,1.448674,,3.3732,0.2885,0.2999
heteroscedastic,B,5,SOFT_GATING,NONE,7,13.8,1.617973,1.30103,,3.8198,0.5976,0.6248
heteroscedastic,B,5,SOFT_GATING,NONE,2026,9.6,2.081897,1.720171,,4.1194,0.0026,0.005
heteroscedastic,B,5,SOFT_GATING,NONE,31,19.8,1.681129,1.503621,,3.4796,0.9433,1.0
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,42,12.2,1.911736,1.420279,,3.0941,0.8922,0.9982
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,123,11.0,1.957166,1.483518,,2.8798,0.1353,0.144
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,7,14.2,1.609935,1.302324,,3.572,0.6022,0.6417
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,2026,21.4,1.9604,1.511479,,3.8788,0.0021,0.0038
heteroscedastic,B,5,SOFT_GATING,K_PENALTY,31,20.1,2.194025,1.546994,,2.3223,0.9809,0.9955
heteroscedastic,B,5,SOFT_GATING,ELBO,42,21.8,1.791945,1.420271,,3.0443,0.9576,0.9979
heteroscedastic,B,5,SOFT_GATING,ELBO,123,27.2,1.775874,1.437394,,3.0284,0.2907,0.3176
heteroscedastic,B,5,SOFT_GATING,ELBO,7,18.4,1.680519,1.318411,,3.1051,0.744,0.8066
heteroscedastic,B,5,SOFT_GATING,ELBO,2026,16.1,1.948979,1.610254,,3.0842,0.3282,0.3983
heteroscedastic,B,5,SOFT_GATING,ELBO,31,18.4,2.199204,1.428595,,3.1629,0.5849,0.6165
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,42,14.5,2.084594,1.537632,,4.1367,0.9574,0.9934
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,123,22.8,2.113118,1.706112,,4.2476,0.3398,0.3443
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,7,15.7,1.659552,1.324499,,4.9996,0.6701,0.693
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,2026,24.3,2.590601,1.613081,,4.2491,0.1209,0.1228
heteroscedastic,B,5,GUMBEL_SOFTMAX,NONE,31,22.8,2.047958,1.524446,,3.5963,0.456,0.5223
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,42,17.1,2.029133,1.589868,,3.7638,0.935,0.9907
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,123,23.0,2.528316,1.646765,,3.2028,0.438,0.4404
heteroscedastic,B,5,GUMBEL_SOFTMAX,K_PENALTY,7,12.1,1.780724,1.332158,,3.5855,0.9423,0.9912
