dataset,k,cell,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,nll_own_mean,nll_own_std,max_p_mid_mean,max_p_mid_std,anchor_error_mean,anchor_error_std
bimodal,3,A,2.372211,0.03954392533626387,1.8534263333333332,0.010536013683235758,1.8418286666666666,0.02053694135779075,1.8534263333333332,0.010536013683235758,,,3.6721333333333335,3.0548849410957093
bimodal,3,B,2.349284,0.024526956456111974,1.8480990000000002,0.004868723960135776,1.835005,0.02482603063318832,1.8480990000000002,0.004868723960135776,,,0.5438666666666666,0.16460323002096086
bimodal,3,C,2.5903806666666664,0.2511624399832372,1.9235389999999999,0.04028971974337887,1.9180896666666667,0.07517795969786173,1.9235389999999999,0.04028971974337887,,,0.7417333333333334,0.1604217670184858
bimodal,3,ClassReg,3.4046683333333334,0.3100506071342762,2.037532,0.0504950866223636,,,2.037532,0.0504950866223636,,,,
bimodal,3,D,2.5825673333333334,0.24166500690901296,1.9218373333333334,0.04025179188972001,1.912607333333333,0.07465637234913935,1.9218373333333334,0.04025179188972001,,,0.7048333333333333,0.19255005409849496
bimodal,3,E,2.625681333333333,0.09815341866859938,1.9855859999999999,0.01745529395341143,0.17900000000000002,0.07864485569953066,0.17900000000000002,0.07864485569953066,,,5.3599,3.0407117143853015
bimodal,3,F,2.6954936666666662,0.2668305788873032,1.9560659999999999,0.035607595636324714,0.485778,0.954107246389,0.485778,0.954107246389,,,2.3854666666666664,0.6860147981882997
bimodal,3,G,2.7275533333333333,0.24955274903381316,2.0033523333333334,0.10585917141340813,1.861570333333333,0.09640295008107028,1.861570333333333,0.09640295008107028,,,0.5288666666666667,0.0929955554493511
bimodal,3,H,2.7297066666666665,0.24997516516912888,2.003693,0.10549403008701502,1.8609010000000001,0.09859709077351106,1.8609010000000001,0.09859709077351106,,,0.5439333333333333,0.09118455644095298
bimodal,5,A,2.329315,0.050133762645546816,1.8440906666666665,0.012650197956290363,1.8404106666666664,0.028217579703676353,1.8440906666666665,0.012650197956290363,0.3698666666666666,0.11822987496116763,3.8042,0.8323473073182854
bimodal,5,B,2.3863316666666665,0.042513500212677614,1.857035,0.008194567285708235,1.8453753333333331,0.010261598137392294,1.857035,0.008194567285708235,0.4654,0.229941231622343,1.4160666666666666,0.4479418079765867
bimodal,5,C,2.5424913333333334,0.08715552169732763,1.9107139999999998,0.013254532960463021,1.7402596666666668,0.05115511892600144,1.9107139999999998,0.013254532960463021,0.7461000000000001,0.06029734654194993,0.7197,0.4483398710799653
bimodal,5,ClassReg,3.2380293333333334,0.09930142778597581,2.007991,0.01507809513831252,,,2.007991,0.01507809513831252,,,,
bimodal,5,D,2.591117666666667,0.05066325415262356,1.9110263333333333,0.0165640102732802,1.7407843333333333,0.05198974822340775,1.9110263333333333,0.0165640102732802,0.7100333333333334,0.09066335165508349,0.7387,0.415296749325106
bimodal,5,E,2.721929,0.05214956403461085,2.0808999999999997,0.05743161351555428,0.6398863333333333,0.4757531909849195,0.6398863333333333,0.4757531909849195,0.167,0.2554131359190439,4.5915333333333335,1.1932538469803202
bimodal,5,F,2.629441,0.07928335663302871,1.9841170000000001,0.05019101939590378,0.36723900000000004,0.12830726085845648,0.36723900000000004,0.12830726085845648,0.19266666666666665,0.21063260273123277,2.7229000000000005,1.0361368683721277
