cell,mse,nll_gaussian,nll_mdn,nll_own,max_p_mid,anchor_error,dataset,k,seed
G,2.844629,2.002204,1.869271,1.869271,,0.4724,bimodal,3,7
H,2.856426,2.005073,1.87214,1.87214,,0.4939,bimodal,3,7
ClassReg,3.222378,2.005143,,2.005143,,,bimodal,5,42
A,2.369943,1.853539,1.864178,1.853539,0.3899,2.8432,bimodal,5,42
B,2.369799,1.852822,1.857195,1.852822,0.2687,0.9717,bimodal,5,42
C,2.46069,1.903656,1.779616,1.903656,0.7398,0.4877,bimodal,5,42
D,2.454125,1.91016,1.813546,1.91016,0.6444,0.6931,bimodal,5,42
E,2.751076,2.064759,0.915528,0.915528,0.0317,4.8561,bimodal,5,42
F,2.541796,1.926231,0.499904,0.499904,0.4336,1.5308,bimodal,5,42
G,2.59862,1.950941,1.443857,1.443857,0.7398,0.535,bimodal,5,42
H,2.607332,2.007362,1.575268,1.575268,0.56,0.654,bimodal,5,42
ClassReg,3.344227,2.02429,,2.02429,,,bimodal,5,123
A,2.344714,1.849014,1.847829,1.849014,0.2429,4.2974,bimodal,5,123
B,2.354568,1.851804,1.838743,1.851804,0.7182,1.8675,bimodal,5,123
C,2.634161,1.926004,1.758728,1.926004,0.8093,0.4349,bimodal,5,123
D,2.638213,1.929925,1.747645,1.929925,0.807,0.429,bimodal,5,123
E,2.752989,2.144675,0.913596,0.913596,0.0077,5.6303,bimodal,5,123
F,2.650359,2.010601,0.358027,0.358027,0.0434,3.407,bimodal,5,123
G,2.842819,2.083462,1.410379,1.410379,0.8603,0.4022,bimodal,5,123
H,2.894872,2.022633,1.470276,1.470276,0.583,0.7657,bimodal,5,123
ClassReg,3.147483,1.99454,,1.99454,,,bimodal,5,7
A,2.273288,1.829719,1.809225,1.829719,0.4768,4.272,bimodal,5,7
B,2.434628,1.866479,1.840188,1.866479,0.4093,1.409,bimodal,5,7
C,2.532623,1.902482,1.682435,1.902482,0.6892,1.2365,bimodal,5,7
D,2.533584,1.902629,1.682131,1.902629,0.6904,1.2257,bimodal,5,7
E,2.661722,2.033266,0.090535,0.090535,0.4616,3.2882,bimodal,5,7
F,2.696168,2.015519,0.243786,0.243786,0.101,3.2309,bimodal,5,7
G,2.695452,1.987291,1.453408,1.453408,0.7442,0.129,bimodal,5,7
H,2.674751,1.97679,1.433246,1.433246,0.745,0.1399,bimodal,5,7
ClassReg,0.342086,0.882921,,0.882921,,,piecewise,3,42
A,0.323919,0.561977,1.653382,0.561977,,4.2025,piecewise,3,42
B,0.290084,0.545906,0.817854,0.545906,,0.7566,piecewise,3,42
C,0.341264,0.818681,0.932796,0.818681,,0.5126,piecewise,3,42
D,0.340362,0.818546,0.932728,0.818546,,0.5134,piecewise,3,42
E,0.314359,0.668754,0.609873,0.609873,,3.9594,piecewise,3,42
F,0.331503,0.835489,0.6437,0.6437,,2.0639,piecewise,3,42
G,0.341987,0.80432,0.773234,0.773234,,0.2939,piecewise,3,42
H,0.338954,0.802918,0.774811,0.774811,,0.2902,piecewise,3,42
ClassReg,0.42964,1.006773,,1.006773,,,piecewise,3,123
A,0.427465,0.784325,3.383045,0.784325,,1.7517,piecewise,3,123
