prior_type,lambda,seed,mse,wall_time_s,effective_k_nobypass,selection_perplexity,bypass_fraction,dead_mode_count,mean_max_p,marginal_p
uniform,0.0,42,1.115760087966919,182.26518440246582,10.969562530517578,18.998920440673828,0.4980470836162567,0,0.053742315620183945,"[0.051431745290756226, 0.05322852358222008, 0.05331666022539139, 0.05312545970082283, 0.053079694509506226, 0.05307406187057495, 0.05295710638165474, 0.05280664563179016, 0.05290208011865616, 0.05302318558096886, 0.052943456918001175, 0.05274474620819092, 0.0526566319167614, 0.052701015025377274, 0.05264997482299805, 0.051830776035785675, 0.052019692957401276, 0.05182943493127823, 0.051679130643606186]"
uniform,0.0,123,1.1100221872329712,397.70672702789307,10.924567222595215,18.99540138244629,0.5245488286018372,0,0.05595691129565239,"[0.05309766158461571, 0.052273787558078766, 0.051997434347867966, 0.05457025766372681, 0.05565769225358963, 0.053873516619205475, 0.054017484188079834, 0.05340847000479698, 0.05209558829665184, 0.052133917808532715, 0.05202062055468559, 0.05216982960700989, 0.05217956379055977, 0.0518178753554821, 0.05257546529173851, 0.05225897952914238, 0.05175260826945305, 0.05097655579447746, 0.05112270638346672]"
uniform,0.0,7,1.0972501039505005,276.9542934894562,11.064323425292969,18.992158889770508,0.5562173128128052,0,0.05865415930747986,"[0.05290936306118965, 0.05279132351279259, 0.052039336413145065, 0.052145909518003464, 0.05192398652434349, 0.0525483563542366, 0.05216909199953079, 0.051825519651174545, 0.05213981866836548, 0.051874399185180664, 0.05195065215229988, 0.05167434737086296, 0.05225550755858421, 0.052662111818790436, 0.051708001643419266, 0.05152297019958496, 0.05382015183568001, 0.05338503047823906, 0.05865415930747986]"
geometric,0.05,42,1.122446894645691,222.31651663780212,9.463502883911133,18.260778427124023,0.49911099672317505,0,0.0801771879196167,"[0.0801772028207779, 0.07629024237394333, 0.07265152037143707, 0.06894924491643906, 0.06565099954605103, 0.06245095655322075, 0.05953088402748108, 0.056338775902986526, 0.05358787998557091, 0.05096191167831421, 0.0482996366918087, 0.0457875095307827, 0.04330656677484512, 0.04113268107175827, 0.03895062208175659, 0.036265332251787186, 0.035070158541202545, 0.03295057639479637, 0.031647320836782455]"
geometric,0.05,123,1.1250663995742798,261.0282390117645,9.303295135498047,18.093420028686523,0.49519529938697815,0,0.08097654581069946,"[0.07929763197898865, 0.07933450490236282, 0.07571176439523697, 0.07335372269153595, 0.07167461514472961, 0.0632193312048912, 0.05991330370306969, 0.056653913110494614, 0.05143674835562706, 0.04877173528075218, 0.0465606153011322, 0.04395689442753792, 0.041903577744960785, 0.03943818435072899, 0.038206182420253754, 0.03621485456824303, 0.03323724493384361, 0.031466271728277206, 0.02964894287288189]"
geometric,0.05,7,1.0968362092971802,272.6401164531708,9.542133331298828,18.327478408813477,0.5607337355613708,0,0.08157794922590256,"[0.08156457543373108, 0.07615478336811066, 0.07212274521589279, 0.06847959756851196, 0.06501477211713791, 0.061451781541109085, 0.058173783123493195, 0.055120039731264114, 0.05259143188595772, 0.04972038418054581, 0.04719598963856697, 0.04437003657221794, 0.04287810996174812, 0.0414840504527092, 0.03824585676193237, 0.036598000675439835, 0.03782344609498978, 0.03576052188873291, 0.03525012731552124]"
geometric,0.2,42,1.17241632938385,178.48819375038147,5.715601921081543,11.290709495544434,0.527758777141571,9,0.20594775676727295,"[0.20594774186611176, 0.161000058054924, 0.12946859002113342, 0.10353592783212662, 0.08321267366409302, 0.06662376970052719, 0.052918385714292526, 0.042205650359392166, 0.03379502892494202, 0.026490593329072, 0.021489862352609634, 0.017464397475123405, 0.014133279211819172, 0.011216864921152592, 0.009009715169668198, 0.007137613836675882, 0.005960369482636452, 0.004641048144549131, 0.0037484446074813604]"
geometric,0.2,123,1.1166681051254272,260.93581795692444,5.82112455368042,11.549480438232422,0.5065842866897583,9,0.18672411143779755,"[0.18647482991218567, 0.16339777410030365, 0.131655752658844, 0.10736308246850967, 0.08592455834150314, 0.0670570358633995, 0.05369916558265686, 0.04392053186893463, 0.035527464002370834, 0.02768443338572979, 0.022339457646012306, 0.01735786162316799, 0.014469576068222523, 0.011378766968846321, 0.009397628717124462, 0.007581242825835943, 0.005882123950868845, 0.004962375853210688, 0.003926355857402086]"
geometric,0.2,7,1.0775978565216064,320.1209497451782,5.693788528442383,11.233580589294434,0.4869239032268524,9,0.21146678924560547,"[0.21146678924560547, 0.15855242311954498, 0.12915107607841492, 0.10333162546157837, 0.08279239386320114, 0.06603646278381348, 0.052460916340351105, 0.041913390159606934, 0.033515412360429764, 0.02678629755973816, 0.021436383947730064, 0.01712537370622158, 0.01383476983755827, 0.011165796779096127, 0.008855639956891537, 0.007195782847702503, 0.005853785201907158, 0.00472623435780406, 0.0037994615267962217]"
geometric,0.5,42,1.129111886024475,275.09999537467957,3.0049679279327393,4.008895397186279,0.483854204416275,14,0.49028345942497253,"[0.4902834892272949, 0.2600330412387848, 0.12655475735664368, 0.06276653707027435, 0.030567800626158714, 0.015104311518371105, 0.007423989474773407, 0.0035901840310543776, 0.001718744053505361, 0.0007944521494209766, 0.0003187461115885526, 0.00014947423187550157, 0.00011386028927518055, 0.00010854820720851421, 9.969984239432961e-05, 8.167287887772545e-05, 0.00010949101124424487, 8.577988774050027e-05, 9.54284259933047e-05]"
