dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,bypass_fraction,effective_k_nobypass,max_p_mid,sum_p_mid
heteroscedastic,B,20,NONE,NONE,42,22.6,1.795546,1.473399,4.158982,20.0,0.0,20.0,0.0564,0.0567
heteroscedastic,B,20,NONE,NONE,123,20.2,2.375957,1.579075,2.267392,20.0,0.0,20.0,0.0003,0.001
heteroscedastic,B,20,NONE,NONE,7,16.2,1.719284,1.437367,3.141893,20.0,0.0,20.0,0.1688,0.1692
heteroscedastic,B,20,NONE,NONE,2026,21.7,1.980575,1.763376,2.589602,20.0,0.0,20.0,0.0,0.0001
heteroscedastic,B,20,NONE,NONE,31,21.4,1.871162,1.510346,3.472207,20.0,0.0,20.0,0.7109,0.8215
heteroscedastic,B,20,SOFT_GATING,NONE,42,124.6,1.928811,1.420765,,9.2319,0.0588,8.7623,0.2177,0.236
heteroscedastic,B,20,SOFT_GATING,NONE,123,121.2,1.795445,1.496711,,9.6366,0.085,8.5767,0.2616,0.3674
heteroscedastic,B,20,SOFT_GATING,NONE,7,55.3,1.635999,1.310065,,15.6724,0.3057,12.9536,0.4079,0.5398
heteroscedastic,B,20,SOFT_GATING,NONE,2026,92.3,1.90461,1.571739,,15.0883,0.2395,12.465,0.2786,0.4102
heteroscedastic,B,20,SOFT_GATING,NONE,31,90.8,1.862156,1.454611,,11.0882,0.1098,9.5487,0.0001,0.0001
heteroscedastic,C,20,NONE,NONE,42,10.7,1.754595,1.614572,2.597087,20.0,0.0,20.0,0.0921,0.3874
heteroscedastic,C,20,NONE,NONE,123,20.5,1.723613,1.591221,3.822737,20.0,0.0,20.0,0.1014,0.3695
heteroscedastic,C,20,NONE,NONE,7,21.7,1.667172,1.535579,2.933609,20.0,0.0,20.0,0.1027,0.3736
heteroscedastic,C,20,NONE,NONE,2026,10.9,1.849039,1.660782,2.343136,20.0,0.0,20.0,0.0985,0.3657
heteroscedastic,C,20,NONE,NONE,31,11.6,1.653438,1.593759,3.022996,20.0,0.0,20.0,0.0861,0.3708
heteroscedastic,C,20,SOFT_GATING,NONE,42,56.5,1.848519,1.455149,,13.7058,0.2765,10.922,0.0937,0.2645
heteroscedastic,C,20,SOFT_GATING,NONE,123,96.1,1.896077,1.484264,,6.8898,0.0018,6.8616,0.1348,0.422
heteroscedastic,C,20,SOFT_GATING,NONE,7,52.2,1.633492,1.329012,,12.8969,0.3028,8.8131,0.1876,0.4498
heteroscedastic,C,20,SOFT_GATING,NONE,2026,177.1,1.955976,1.581535,,14.8238,0.2708,12.4432,0.0715,0.1945
heteroscedastic,C,20,SOFT_GATING,NONE,31,85.1,1.596693,1.356225,,13.4214,0.2786,10.2013,0.1867,0.478
bimodal,B,20,NONE,NONE,42,16.7,2.390201,1.854766,1.856134,20.0,0.0,20.0,0.0482,0.1338
bimodal,B,20,NONE,NONE,123,13.0,2.32394,1.844352,1.894659,20.0,0.0,20.0,0.0486,0.0836
bimodal,B,20,NONE,NONE,7,24.3,2.31853,1.84209,2.016434,20.0,0.0,20.0,0.2742,0.4095
bimodal,B,20,NONE,NONE,2026,19.0,2.257782,1.826988,1.822667,20.0,0.0,20.0,0.1117,0.2301
bimodal,B,20,NONE,NONE,31,23.2,2.611525,1.892644,2.52381,20.0,0.0,20.0,0.5956,0.6365
bimodal,B,20,SOFT_GATING,NONE,42,196.0,2.373316,1.853313,,11.451,0.0186,11.2731,0.5093,0.7596
bimodal,B,20,SOFT_GATING,NONE,123,139.0,2.313157,1.838913,,13.7305,0.2381,10.8022,0.2736,0.504
bimodal,B,20,SOFT_GATING,NONE,7,300.6,2.310654,1.838706,,14.8565,0.3399,12.321,0.5702,0.7004
bimodal,B,20,SOFT_GATING,NONE,2026,250.1,2.252383,1.826076,,16.4281,0.2935,12.5639,0.2667,0.4473
bimodal,B,20,SOFT_GATING,NONE,31,72.5,2.273725,1.830631,,11.4772,0.0069,11.4153,0.374,0.5869
bimodal,C,20,NONE,NONE,42,27.8,2.488831,1.88018,1.649631,20.0,0.0,20.0,0.2222,0.4302
bimodal,C,20,NONE,NONE,123,39.2,2.350108,1.850599,1.494352,20.0,0.0,20.0,0.2155,0.379
bimodal,C,20,NONE,NONE,7,40.7,2.386884,1.863423,1.190924,20.0,0.0,20.0,0.2233,0.4054
bimodal,C,20,NONE,NONE,2026,42.1,2.426311,1.875107,1.409926,20.0,0.0,20.0,0.193,0.34
bimodal,C,20,NONE,NONE,31,35.2,2.264802,1.83179,1.363998,20.0,0.0,20.0,0.2032,0.3777
bimodal,C,20,SOFT_GATING,NONE,42,186.2,2.336369,1.845341,,12.8002,0.0484,12.3492,0.1411,0.2572
bimodal,C,20,SOFT_GATING,NONE,123,132.0,2.369799,1.852976,,10.5056,0.2019,7.446,0.5504,0.8156
bimodal,C,20,SOFT_GATING,NONE,7,222.3,2.313743,1.839614,,17.6151,0.6558,11.632,0.3589,0.573
bimodal,C,20,SOFT_GATING,NONE,2026,72.2,2.220056,1.818087,,13.4866,0.2598,10.2667,0.3455,0.4218
bimodal,C,20,SOFT_GATING,NONE,31,64.4,2.335888,1.845267,,9.0387,0.094,7.5338,0.1116,0.2726
piecewise,B,20,NONE,NONE,42,8.4,0.295725,0.540424,1.102323,20.0,0.0,20.0,0.1517,0.1696
piecewise,B,20,NONE,NONE,123,6.0,0.312533,0.58762,1.689201,20.0,0.0,20.0,0.1228,0.1324
piecewise,B,20,NONE,NONE,7,21.6,0.243699,0.586518,2.248532,20.0,0.0,20.0,0.2202,0.2654
piecewise,B,20,NONE,NONE,2026,11.2,0.331311,0.522303,2.214343,20.0,0.0,20.0,0.5673,0.7467
piecewise,B,20,NONE,NONE,31,21.2,0.44548,0.829369,3.897411,20.0,0.0,20.0,0.4328,0.4701
piecewise,B,20,SOFT_GATING,NONE,42,73.3,0.293238,0.495293,,12.1397,0.0376,11.7092,0.529,0.6421
piecewise,B,20,SOFT_GATING,NONE,123,190.3,0.320619,0.455321,,13.1932,0.0011,13.188,0.1751,0.3017
piecewise,B,20,SOFT_GATING,NONE,7,284.0,0.225831,0.363305,,10.7824,0.1463,8.9345,0.442,0.4483
piecewise,B,20,SOFT_GATING,NONE,2026,302.6,0.275053,0.378694,,11.0367,0.1725,8.9331,0.2313,0.2852
piecewise,B,20,SOFT_GATING,NONE,31,127.2,0.297972,0.662806,,10.528,0.0053,10.4968,0.0006,0.0011
piecewise,C,20,NONE,NONE,42,22.0,0.284916,0.52519,1.073981,20.0,0.0,20.0,0.1501,0.3978
piecewise,C,20,NONE,NONE,123,17.4,0.341283,0.672065,1.020699,20.0,0.0,20.0,0.1314,0.3619
piecewise,C,20,NONE,NONE,7,18.8,0.246256,0.711476,1.119196,20.0,0.0,20.0,0.1575,0.4133
piecewise,C,20,NONE,NONE,2026,24.3,0.321824,0.504296,1.281074,20.0,0.0,20.0,0.1426,0.4012
piecewise,C,20,NONE,NONE,31,21.7,0.29934,0.580414,2.12121,20.0,0.0,20.0,0.1543,0.4137
piecewise,C,20,SOFT_GATING,NONE,42,67.5,0.285726,0.501148,,11.8163,0.1342,9.7092,0.1758,0.4257
piecewise,C,20,SOFT_GATING,NONE,123,36.8,0.32629,0.930225,,6.4113,0.0015,6.3924,0.4318,0.7918
piecewise,C,20,SOFT_GATING,NONE,7,152.5,0.286161,0.47906,,16.0484,0.6036,9.8716,0.447,0.7046
piecewise,C,20,SOFT_GATING,NONE,2026,43.8,0.352933,0.551193,,13.9833,0.2801,10.131,0.0787,0.2438
piecewise,C,20,SOFT_GATING,NONE,31,128.2,0.307403,0.570678,,15.6357,0.4901,8.7542,0.2868,0.3391
exponential,B,20,NONE,NONE,42,20.2,1.531514,1.153343,2.465165,20.0,0.0,20.0,0.7575,0.7578
exponential,B,20,NONE,NONE,123,19.6,0.472421,0.96743,1.901906,20.0,0.0,20.0,0.0136,0.0222
exponential,B,20,NONE,NONE,7,26.2,0.889404,0.881549,2.051594,20.0,0.0,20.0,0.0349,0.035
exponential,B,20,NONE,NONE,2026,21.9,1.255169,1.175779,2.373806,20.0,0.0,20.0,0.1385,0.1385
exponential,B,20,NONE,NONE,31,19.7,4.291457,1.146976,2.933442,20.0,0.0,20.0,0.6838,0.6842
exponential,B,20,SOFT_GATING,NONE,42,135.5,0.344746,0.895832,,12.8599,0.2768,10.9824,0.0004,0.0008
exponential,B,20,SOFT_GATING,NONE,123,183.6,0.41954,1.005769,,10.7898,0.3781,5.1814,0.1037,0.1064
exponential,B,20,SOFT_GATING,NONE,7,177.2,0.280085,0.776507,,13.0425,0.2012,11.1285,0.4372,0.4372
exponential,B,20,SOFT_GATING,NONE,2026,234.8,0.323958,0.918694,,12.5963,0.1234,11.964,0.6058,0.6448
exponential,B,20,SOFT_GATING,NONE,31,216.5,0.315523,0.844854,,18.851,0.7159,10.4325,0.5456,0.5539
exponential,C,20,NONE,NONE,42,16.5,0.466475,1.131357,2.107857,20.0,0.0,20.0,0.1764,0.416
exponential,C,20,NONE,NONE,123,21.2,0.40786,0.98541,1.542164,20.0,0.0,20.0,0.1939,0.4507
exponential,C,20,NONE,NONE,7,20.0,0.283401,0.956498,4.878848,20.0,0.0,20.0,0.1998,0.503
exponential,C,20,NONE,NONE,2026,18.6,0.42657,1.009867,12.273981,20.0,0.0,20.0,0.1656,0.4258
exponential,C,20,NONE,NONE,31,14.3,0.346794,1.094936,3.123064,20.0,0.0,20.0,0.1427,0.3919
exponential,C,20,SOFT_GATING,NONE,42,98.7,0.42289,0.979186,,14.2452,0.4673,10.1971,0.1271,0.3654
exponential,C,20,SOFT_GATING,NONE,123,190.6,0.985053,1.09479,,6.0216,0.0518,5.1953,0.1187,0.213
exponential,C,20,SOFT_GATING,NONE,7,169.4,0.266532,0.772669,,15.0065,0.6456,5.7962,0.3164,0.4663
exponential,C,20,SOFT_GATING,NONE,2026,187.3,0.370686,0.939969,,12.1806,0.5104,5.2854,0.1182,0.2853
exponential,C,20,SOFT_GATING,NONE,31,172.7,0.339227,0.882351,,17.8105,0.8369,6.8411,0.0267,0.0587
