dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,bypass_fraction_mean,bypass_fraction_std,effective_k_nobypass_mean,effective_k_nobypass_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
bimodal,B,10,NONE,NONE,2.3238336,0.07371732653386175,1.8421688,0.017371952069356024,1.900419,0.08231137545625147,10.0,0.0,0.0,0.0,10.0,0.0,0.17046,0.12454803491023053,0.25098,0.1519116914526331,15.819999999999999,5.954578070694851
bimodal,B,10,SOFT_GATING,ELBO,2.3075602,0.0819133262674641,1.8383690000000001,0.01843558198159191,,,7.9607,0.0874286280345288,0.48086,0.01942068484889243,6.07772,0.02839149520543064,0.30545999999999995,0.11605043300220814,0.41958,0.16529810041255766,26.639999999999997,14.027758195805916
bimodal,B,10,SOFT_GATING,NONE,2.3280978,0.0834290173542754,1.8432724,0.018945313821628815,,,6.9827200000000005,0.8251420041423174,0.23408,0.09123742105079471,6.192480000000001,1.1852351273059705,0.2773,0.17886288044197432,0.3943,0.21645949967603634,25.28,19.171906530128922
bimodal,C,10,NONE,NONE,2.4159294000000004,0.08002364421094557,1.8720430000000001,0.021425065309118703,1.4356418,0.07510726557530903,10.0,0.0,0.0,0.0,10.0,0.0,0.31222,0.027433319157550002,0.40952,0.03660596945854596,13.319999999999999,2.081345718519631
bimodal,C,10,SOFT_GATING,ELBO,2.2714134,0.055608001423356354,1.8295346000000001,0.012758222164549445,,,7.91014,0.10137397595043851,0.47603999999999996,0.025723491209398482,6.010859999999999,0.04172227222958989,0.21178,0.08852379341171503,0.4473599999999999,0.08762375819376841,24.56,11.984072763464013
bimodal,C,10,SOFT_GATING,NONE,2.3538726,0.10702481943596087,1.8720778,0.07651859223874939,,,7.044880000000001,0.20497267378848316,0.33843999999999996,0.09964076976820281,5.55572,1.1017055445989188,0.34998,0.168953949347152,0.5066599999999999,0.15303637802823222,26.080000000000002,13.382152293259857
exponential,B,10,NONE,NONE,2.1851522,0.9783322622538316,1.078805,0.03956871353733908,2.6229776,0.36109819167755464,10.0,0.0,0.0,0.0,10.0,0.0,0.2878,0.3875856679496805,0.28788,0.3876475099881334,11.66,0.665582451691749
exponential,B,10,SOFT_GATING,ELBO,0.342013,0.08670670995949507,0.887942,0.12820288020165535,,,8.04552,0.203936281715638,0.5386,0.06292690203720507,5.73428,0.303186126001834,0.52756,0.4943856419840689,0.5636599999999999,0.519368922828465,43.519999999999996,12.561329547464316
exponential,B,10,SOFT_GATING,NONE,0.33763560000000004,0.042491147275638484,0.8944816,0.06414674380901968,,,7.08938,2.098679643728408,0.46243999999999996,0.33665349099630615,4.24706,0.8411030513557777,0.37,0.45183825092614716,0.41024000000000005,0.5035011499490343,53.44,6.744479223779991
exponential,C,10,NONE,NONE,0.6835062000000001,0.15588182075117038,1.0734540000000001,0.08059381224697104,2.972516,0.8636287942849058,10.0,0.0,0.0,0.0,10.0,0.0,0.26364,0.03041254675294394,0.43658,0.049938532217116666,14.48,0.8318653737234171
