dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,bypass_fraction_mean,bypass_fraction_std,effective_k_nobypass_mean,effective_k_nobypass_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
exponential,C,10,SOFT_GATING,ELBO,0.35967899999999997,0.058602960722987374,0.9075554,0.0774235888492648,,,7.915299999999999,0.1580116134972361,0.48754,0.04765273339484317,5.93562,0.09542736504797797,0.36235999999999996,0.23928914099891788,0.47517999999999994,0.25332178548241757,49.36,6.665058139281305
exponential,C,10,SOFT_GATING,NONE,0.3449358,0.05102194503544528,0.8795436000000001,0.06905939822211021,,,7.57196,1.7671743810388378,0.5834400000000001,0.26131278767025545,3.74236,1.2844763069048806,0.30267999999999995,0.2544802880381897,0.40743999999999997,0.2523911111747005,51.54,12.162359968361404
heteroscedastic,B,10,NONE,NONE,2.2606616,0.2975518751853196,1.621087,0.14569307897254424,2.8351204,0.5082306175785751,10.0,0.0,0.0,0.0,10.0,0.0,0.25085999999999997,0.2282251476064809,0.27362,0.2541159125281217,14.8,3.3022719451916744
heteroscedastic,B,10,SOFT_GATING,ELBO,1.8136938,0.18232179519931244,1.4274644,0.07968677421191052,,,8.150659999999998,0.09432413794994365,0.5235000000000001,0.02015155080880872,6.09148,0.1898742267923691,0.5229199999999999,0.34385477603197545,0.53528,0.348261549700796,42.260000000000005,14.639945355089274
heteroscedastic,B,10,SOFT_GATING,NONE,1.8019268,0.14499052721712552,1.4286872000000002,0.08120489773221816,,,6.721639999999999,0.9022870624141743,0.3029,0.19461341166528068,5.2697400000000005,1.2714713299952933,0.30806,0.24570252949450883,0.32330000000000003,0.252463155727722,48.36,10.33116643946849
heteroscedastic,C,10,NONE,NONE,1.7293489999999998,0.1524037759620804,1.5854402,0.03341458176754576,5.1426842,2.3680193996795507,10.0,0.0,0.0,0.0,10.0,0.0,0.17994,0.02770781478211517,0.37784,0.047656405655483514,15.0,3.6544493429243206
heteroscedastic,C,10,SOFT_GATING,ELBO,3.5459305999999997,2.143652755996946,1.8590432,0.3449554706758542,,,8.11872,0.34678131005000784,0.5282199999999999,0.07303086333872823,6.11836,0.2043674705035023,0.21454,0.07386306925656419,0.43688000000000005,0.11403292068521263,21.740000000000002,16.462928050623315
heteroscedastic,C,10,SOFT_GATING,NONE,1.8948622,0.21748579611482688,1.4431024000000001,0.11300479200370227,,,6.827680000000001,1.0476975384145946,0.26976,0.05239611626828843,5.5906199999999995,1.5090904999369654,0.38648,0.14766951953602345,0.63572,0.10040103087120177,26.880000000000003,8.240266985965928
piecewise,B,10,NONE,NONE,0.3196368,0.03349934807873133,0.6040146,0.041106279888844265,1.3251314,0.2962483808416512,10.0,0.0,0.0,0.0,10.0,0.0,0.25672,0.18598863406133184,0.2726,0.20799228351071103,8.8,1.523154621172782
piecewise,B,10,SOFT_GATING,ELBO,0.2839702,0.028124754198036974,0.49556579999999995,0.08087529754937535,,,7.937900000000001,0.1814048510927975,0.4856,0.046602521391014846,5.96372,0.17703990228194297,0.29222000000000004,0.23000521081053793,0.31426000000000004,0.24209707350564982,40.36,24.21555285348654
piecewise,B,10,SOFT_GATING,NONE,0.2735052,0.037389042187517985,0.45967640000000004,0.08804383342006411,,,6.4849000000000006,1.0057985384757722,0.25986000000000004,0.19369845895102009,5.52582,0.5706609299750597,0.33146,0.17138749370943027,0.33914,0.1737176818864447,48.82,28.327936740962972
piecewise,C,10,NONE,NONE,0.29537899999999995,0.027911235820006264,0.5770594,0.038928226960651596,1.5726944,0.4292569302490061,10.0,0.0,0.0,0.0,10.0,0.0,0.23811999999999997,0.03157430917692421,0.39544,0.032881651418382264,11.08,3.528739151595085
piecewise,C,10,SOFT_GATING,ELBO,0.3250088,0.055299614344948185,0.5803996,0.11438864992996464,,,8.16708,0.13902354836501585,0.52068,0.036578709654661125,6.1162399999999995,0.20151632191959035,0.21539999999999998,0.11252801873311374,0.38942,0.20213127417596716,18.9,7.4809758721706885
piecewise,C,10,SOFT_GATING,NONE,0.7366012,0.9924638701810257,0.7426222,0.4717409740479409,,,6.45582,1.3708906218221786,0.34024,0.2652875666140424,4.85244,0.3700218344908853,0.18517999999999998,0.08915386699409061,0.30238,0.13533523931334365,31.839999999999996,23.65772601075598
