dataset,k_max,seed,mse,wall_time_s,effective_k,effective_k_nobypass,bypass_fraction,selection_perplexity,dead_mode_count,mean_max_p,marginal_p
toy_a,5,42,0.28605371713638306,31.403519868850708,4.31011962890625,4.0516037940979,0.44912251830101013,3.256381034851074,1,0.49580296874046326,"[0.17943382263183594, 0.051708340644836426, 0.30667823553085327, 0.46217963099479675]"
toy_a,5,123,0.2589208781719208,23.627694845199585,4.999539852142334,3.300870656967163,0.9997319579124451,3.903568744659424,0,0.3445613980293274,"[0.344561368227005, 0.23569102585315704, 0.19406314194202423, 0.22568444907665253]"
toy_a,5,7,0.26648882031440735,40.30137515068054,4.67959451675415,3.846278429031372,0.8189736604690552,3.672562599182129,1,0.4477858543395996,"[0.10387708246707916, 0.2332533895969391, 0.37558338046073914, 0.2872861921787262]"
toy_a,10,42,0.2849864065647125,72.10135817527771,8.71665096282959,6.150122165679932,0.757012665271759,8.600143432617188,1,0.22137299180030823,"[0.1123570129275322, 0.1373995691537857, 0.11077985912561417, 0.10173064470291138, 0.06582919508218765, 0.05413011461496353, 0.11596556752920151, 0.15825387835502625, 0.1435541808605194]"
toy_a,10,123,0.27214476466178894,55.86168169975281,9.525090217590332,8.6128511428833,0.7228865027427673,3.9485206604003906,6,0.5891587138175964,"[0.02720668725669384, 0.0733073353767395, 0.004677869379520416, 0.009320070967078209, 0.05359680578112602, 0.04559776186943054, 0.025753408670425415, 0.17898903787136078, 0.5815510153770447]"
toy_a,10,7,0.26844340562820435,83.89315176010132,7.173497200012207,4.9176344871521,0.4141310155391693,6.229822158813477,2,0.44033709168434143,"[0.0861995741724968, 0.10906215012073517, 0.4332473874092102, 0.08734825998544693, 0.07730769366025925, 0.05459968000650406, 0.0270838625729084, 0.06591125577688217, 0.0592401921749115]"
toy_a,20,42,0.2872672975063324,115.05224776268005,14.67698860168457,8.097854614257812,0.518827497959137,7.210320949554443,10,0.561858594417572,"[0.5134872794151306, 0.0009666361729614437, 0.005632224027067423, 0.018038729205727577, 0.009075256064534187, 0.01927207224071026, 0.026837840676307678, 0.009152022190392017, 0.01037325244396925, 0.02145341970026493, 0.022463468834757805, 0.027258312329649925, 0.03595582768321037, 0.04203140735626221, 0.022726938128471375, 0.06645011901855469, 0.027421822771430016, 0.04360509291291237, 0.07779830694198608]"
toy_a,20,123,0.2581616938114166,223.9698464870453,14.800422668457031,10.393697738647461,0.4240584075450897,9.398579597473145,11,0.46094486117362976,"[0.06292767822742462, 0.045412104576826096, 0.006016533821821213, 0.31210795044898987, 0.09020569175481796, 0.005692020058631897, 0.017660049721598625, 0.010579670779407024, 0.01855851151049137, 0.019045909866690636, 0.046085894107818604, 0.006457396782934666, 0.041147347539663315, 0.006984482053667307, 0.012259075418114662, 0.011575684882700443, 0.004133506212383509, 0.11381756514310837, 0.16933295130729675]"
toy_a,20,7,0.2664823532104492,411.4341514110565,18.245040893554688,16.451202392578125,0.7177991271018982,5.296655654907227,11,0.5718720555305481,"[0.02146066725254059, 0.04587903246283531, 0.02898780070245266, 0.027801597490906715, 0.03074851632118225, 0.038671404123306274, 0.003713684156537056, 0.0030496346298605204, 0.0027880489360541105, 0.0023970995098352432, 0.0028799339197576046, 0.003043226897716522, 0.0065423729829490185, 0.006564702372997999, 0.007262611296027899, 0.008342436514794827, 0.0824107751250267, 0.10564147680997849, 0.571815013885498]"
toy_a,40,42,0.29693707823753357,698.8715350627899,35.10251998901367,32.55729675292969,0.4324418008327484,12.013699531555176,18,0.4761599004268646,"[0.0006913950201123953, 0.0006674492615275085, 0.0015798331005498767, 0.005057723727077246, 0.006341713014990091, 0.007528676185756922, 0.0039413501508533955, 0.004847655072808266, 0.002146206796169281, 0.007105389144271612, 0.005069897510111332, 0.017367389053106308, 0.013010719791054726, 0.016343064606189728, 0.0073447139002382755, 0.031070703640580177, 0.005257902201265097, 0.010345683433115482, 0.014636806212365627, 0.005357757676392794, 0.008834724314510822, 0.018216663971543312, 0.009889035485684872, 0.019614841789007187, 0.01651807688176632, 0.023266103118658066, 0.022475438192486763, 0.020655924454331398, 0.020590178668498993, 0.018822839483618736, 0.026978829875588417, 0.03276979550719261, 0.016516661271452904, 0.02732938341796398, 0.015329442918300629, 0.008519669994711876, 0.02026982046663761, 0.03535732999444008, 0.47233325242996216]"
toy_a,40,123,0.27481722831726074,795.3015954494476,32.894039154052734,19.48609733581543,0.6427561640739441,10.616385459899902,29,0.4838503897190094,"[0.04853517934679985, 0.00800727866590023, 0.0017501544207334518, 0.0027913597878068686, 0.0027581211179494858, 0.005149997305124998, 0.01245990302413702, 0.006573026068508625, 0.03942142426967621, 0.07042952626943588, 0.08127488940954208, 0.008529817685484886, 0.03512584790587425, 0.04152483865618706, 0.06053391098976135, 0.04746253043413162, 0.02110963873565197, 0.007270948030054569, 0.008637051098048687, 0.002149743726477027, 0.0015020150458440185, 0.0013237508246675134, 0.0012450594222173095, 0.0011085213627666235, 0.4209349751472473, 0.004539421759545803, 0.001231763162650168, 0.0022766506299376488, 0.0016520593781024218, 0.002225305186584592, 0.002185024553909898, 0.00183292746078223, 0.002943276194855571, 0.00824118684977293, 0.00868325587362051, 0.010039997287094593, 0.007940812967717648, 0.004280085675418377, 0.004318784922361374]"
toy_a,40,7,0.26974597573280334,693.7457587718964,16.23681640625,11.168309211730957,0.17309355735778809,13.273542404174805,30,0.29946115612983704,"[0.19996292889118195, 0.012181738391518593, 0.0017661405727267265, 0.046098556369543076, 0.04228052869439125, 0.1262083798646927, 0.03175918385386467, 0.06225619465112686, 0.26299044489860535, 0.003482738509774208, 0.006162829697132111, 0.004653624724596739, 0.011838710866868496, 0.005002723541110754, 0.0057949647307395935, 0.0035067088901996613, 0.005003876984119415, 0.005791846662759781, 0.007416041102260351, 0.006161293014883995, 0.004412381444126368, 0.0031727042514830828, 0.0049252198077738285, 0.0041012573055922985, 0.004229165147989988, 0.005777393933385611, 0.004468327388167381, 0.006187049206346273, 0.007499794941395521, 0.0063703665509819984, 0.007376560475677252, 0.013713642954826355, 0.0265177171677351, 0.012085026130080223, 0.008286784403026104, 0.010325340554118156, 0.006847578566521406, 0.003706657560542226, 0.009677608497440815]"
toy_b_kT3,5,42,1.234223484992981,11.166257381439209,3.1703603267669678,2.666248083114624,0.2055235207080841,2.5182814598083496,3,0.7002028822898865,"[0.7002029418945312, 0.05540510639548302, 0.12233282625675201, 0.12205914407968521]"
toy_b_kT3,5,123,1.1103357076644897,22.175026416778564,4.890452861785889,3.389395236968994,0.8492748141288757,3.501338005065918,1,0.5695536732673645,"[0.4035037159919739, 0.14697983860969543, 0.10613427311182022, 0.34338220953941345]"
toy_b_kT3,5,7,1.073834776878357,38.3772976398468,4.78013277053833,4.3103766441345215,0.8286077380180359,2.9942259788513184,1,0.5658750534057617,"[0.03612853214144707, 0.15304119884967804, 0.27515551447868347, 0.5356747508049011]"
