epoch,val_loss,effective_k,effective_k_nobypass,bypass_fraction,selection_perplexity,dead_mode_count,mean_max_p
0,2.1800734996795654,7.4541015625,7.182206630706787,0.09706148505210876,7.81007719039917,2,0.20917634665966034
1,1.8278495073318481,7.48916482925415,6.937841892242432,0.1869208812713623,8.10860538482666,0,0.20483790338039398
2,1.5794545412063599,7.801828861236572,6.761410713195801,0.34086307883262634,8.229347229003906,1,0.19767987728118896
3,1.5667988061904907,8.180679321289062,6.781335353851318,0.458234041929245,8.129891395568848,2,0.20270924270153046
4,1.5209354162216187,8.9309720993042,6.9373369216918945,0.6752979159355164,7.916292190551758,1,0.21704630553722382
5,1.542217493057251,9.145543098449707,6.965440273284912,0.7428098320960999,7.809885501861572,1,0.22811828553676605
6,1.518338918685913,8.678844451904297,6.735579013824463,0.6271695494651794,8.043112754821777,1,0.22120757400989532
7,1.504176378250122,8.929082870483398,6.762200832366943,0.7022027969360352,7.997389316558838,1,0.22853770852088928
8,1.5236542224884033,9.189192771911621,6.815118312835693,0.7780999541282654,7.9092230796813965,1,0.23922200500965118
9,1.4937360286712646,8.853636741638184,6.585411071777344,0.7048625349998474,8.111273765563965,1,0.23166637122631073
10,1.493593454360962,9.053558349609375,6.625995635986328,0.761590301990509,8.04153823852539,1,0.2420089691877365
11,1.4828075170516968,9.103187561035156,6.531181335449219,0.784613311290741,8.096171379089355,1,0.2417147159576416
12,1.4790211915969849,9.083040237426758,6.401954650878906,0.7897788286209106,8.17136001586914,1,0.2382635921239853
13,1.4751158952713013,9.054165840148926,6.297684192657471,0.790867269039154,8.214604377746582,1,0.23611795902252197
14,1.469137191772461,9.054049491882324,6.219558238983154,0.796242892742157,8.233376502990723,1,0.23544541001319885
15,1.4736883640289307,9.160277366638184,6.275069713592529,0.819959282875061,8.219518661499023,1,0.23865929245948792
16,1.4707762002944946,9.006953239440918,6.104135990142822,0.7918581366539001,8.26337718963623,1,0.2321140617132187
17,1.4734833240509033,9.178027153015137,6.216805458068848,0.8278190493583679,8.25074577331543,1,0.23696044087409973
18,1.4655815362930298,9.064016342163086,6.054973125457764,0.8080719113349915,8.276080131530762,1,0.2316024750471115
19,1.4649021625518799,9.039477348327637,6.007033348083496,0.8043918013572693,8.281813621520996,1,0.22989921271800995
20,1.4726195335388184,9.1067476272583,6.0587005615234375,0.8179121017456055,8.288243293762207,1,0.23136673867702484
21,1.4651840925216675,8.982455253601074,5.923216342926025,0.7951197624206543,8.274296760559082,1,0.22777478396892548
22,1.4735393524169922,9.04899787902832,5.957298278808594,0.8087500929832458,8.286683082580566,1,0.22869670391082764
23,1.467373013496399,9.055419921875,5.949676990509033,0.8099644780158997,8.293521881103516,1,0.22756130993366241
24,1.4699759483337402,8.991930961608887,5.872847557067871,0.7989820837974548,8.275059700012207,1,0.22613373398780823
25,1.4696779251098633,9.047721862792969,5.916172027587891,0.8090681433677673,8.302939414978027,1,0.22544661164283752
26,1.4700725078582764,9.017732620239258,5.879584312438965,0.8037043809890747,8.297947883605957,1,0.2242443859577179
27,1.4682977199554443,9.02121639251709,5.861827850341797,0.8050388693809509,8.296875953674316,1,0.22368498146533966
28,1.4672694206237793,8.974539756774902,5.8013434410095215,0.7966972589492798,8.279462814331055,1,0.22232602536678314
29,1.4689151048660278,8.909310340881348,5.738974571228027,0.7847152948379517,8.246637344360352,1,0.2217293232679367
30,1.4753289222717285,9.037825584411621,5.866508483886719,0.8083586096763611,8.311986923217773,1,0.22244921326637268
31,1.4683587551116943,8.896590232849121,5.731504917144775,0.7820984125137329,8.253872871398926,1,0.220581516623497
32,1.468123197555542,8.983689308166504,5.8011064529418945,0.7986257076263428,8.298912048339844,1,0.22078506648540497
33,1.4652864933013916,8.914872169494629,5.741613864898682,0.7856388092041016,8.27073860168457,1,0.2198047637939453
34,1.4710205793380737,8.971700668334961,5.787593364715576,0.7965701222419739,8.299214363098145,1,0.21995890140533447
35,1.4706149101257324,8.92461109161377,5.734808921813965,0.7881117463111877,8.273444175720215,1,0.2194969207048416
36,1.4702706336975098,8.887051582336426,5.702305316925049,0.7810844779014587,8.252472877502441,1,0.21928738057613373
37,1.470470666885376,8.933951377868652,5.741685390472412,0.7894331216812134,8.282914161682129,1,0.21865494549274445
38,1.4782112836837769,8.970882415771484,5.754848957061768,0.7968081831932068,8.295775413513184,1,0.2187410593032837
39,1.4687354564666748,8.868583679199219,5.676370143890381,0.7772437930107117,8.248702049255371,1,0.2178206890821457
40,1.4651896953582764,8.885680198669434,5.690808296203613,0.7803805470466614,8.269261360168457,1,0.21700625121593475
41,1.4773807525634766,9.004450798034668,5.818414211273193,0.8015516400337219,8.35219955444336,1,0.21619105339050293
42,1.47265625,8.82663631439209,5.692440986633301,0.767398476600647,8.28555679321289,1,0.21476879715919495
43,1.4698803424835205,8.894871711730957,5.734229564666748,0.780811071395874,8.324455261230469,1,0.21461966633796692
44,1.4676084518432617,8.880120277404785,5.726371765136719,0.7774640917778015,8.323866844177246,1,0.21384823322296143
45,1.4722676277160645,8.906702995300293,5.741804122924805,0.7825509905815125,8.338728904724121,1,0.21356096863746643
46,1.474341630935669,8.820085525512695,5.68125057220459,0.7663289308547974,8.298660278320312,1,0.21359243988990784
47,1.4737544059753418,8.92081356048584,5.770346164703369,0.7848169207572937,8.358884811401367,1,0.21314679086208344
48,1.470680832862854,8.851036071777344,5.709438800811768,0.7719112038612366,8.324016571044922,1,0.2130211889743805
49,1.4725430011749268,8.862948417663574,5.713008880615234,0.7745003700256348,8.32973861694336,1,0.2131214141845703
50,1.472057819366455,8.85050106048584,5.714147090911865,0.7715779542922974,8.337470054626465,1,0.2122483253479004
51,1.4748951196670532,8.851841926574707,5.71545934677124,0.7715582847595215,8.347111701965332,1,0.2114769071340561
52,1.4720810651779175,8.843395233154297,5.727900981903076,0.768757164478302,8.357992172241211,1,0.2104121893644333
53,1.4768296480178833,8.858113288879395,5.741551399230957,0.7714970707893372,8.365581512451172,1,0.21030111610889435
54,1.4736793041229248,8.781042098999023,5.687063694000244,0.7565011382102966,8.337878227233887,1,0.20935001969337463
55,1.4767404794692993,8.872424125671387,5.740854740142822,0.77456134557724,8.378652572631836,1,0.20965801179409027
56,1.472548007965088,8.78410530090332,5.688546657562256,0.7573143243789673,8.350439071655273,1,0.20887787640094757
57,1.4778964519500732,8.80118179321289,5.705300331115723,0.760478675365448,8.355045318603516,1,0.20916710793972015
58,1.4764657020568848,8.78057861328125,5.693580627441406,0.7562191486358643,8.355663299560547,1,0.2084096521139145
59,1.476853847503662,8.846864700317383,5.738925457000732,0.7687387466430664,8.388298034667969,1,0.2082294076681137
60,1.4766851663589478,8.809165000915527,5.7123284339904785,0.7614180445671082,8.378390312194824,1,0.20776425302028656
61,1.4809668064117432,8.70651912689209,5.654439449310303,0.7415885329246521,8.337427139282227,1,0.2075313776731491
62,1.4797468185424805,8.778116226196289,5.704610347747803,0.7549479007720947,8.377803802490234,1,0.20707769691944122
63,1.4749313592910767,8.84129524230957,5.7594380378723145,0.7665390372276306,8.412514686584473,1,0.20699624717235565
64,1.472826361656189,8.696293830871582,5.674683570861816,0.7380167841911316,8.369184494018555,1,0.20574970543384552
65,1.4746429920196533,8.792642593383789,5.7425432205200195,0.7563581466674805,8.417010307312012,1,0.2056182473897934
66,1.4748882055282593,8.800704956054688,5.751993656158447,0.757666289806366,8.422261238098145,1,0.20549237728118896
67,1.475066900253296,8.713046073913574,5.70440673828125,0.7406045198440552,8.394770622253418,1,0.2051234096288681
68,1.4726951122283936,8.83340072631836,5.788878917694092,0.7640056610107422,8.438953399658203,1,0.20593269169330597
69,1.476001501083374,8.822151184082031,5.786162853240967,0.7612646222114563,8.451345443725586,1,0.2046109288930893
0,,7.836197853088379,7.297135353088379,0.20341797173023224,7.462546348571777,2,0.23822002112865448
1,,7.690185070037842,6.914285182952881,0.26169493794441223,8.046168327331543,1,0.20586442947387695
2,,8.317397117614746,6.869915962219238,0.4810520112514496,8.034832954406738,1,0.19955125451087952
3,,8.896350860595703,6.9695940017700195,0.6555644869804382,7.8336029052734375,2,0.2091873735189438
4,,8.931076049804688,6.89778470993042,0.6783739328384399,7.86873197555542,2,0.20888788998126984
5,,8.952621459960938,6.8155059814453125,0.6987015008926392,7.948452472686768,2,0.2079140990972519
6,,9.044595718383789,6.680914402008057,0.7427904009819031,8.060288429260254,2,0.20600514113903046
7,,8.9371919631958,6.453622341156006,0.7363871932029724,8.171590805053711,2,0.20148208737373352
8,,9.103787422180176,6.415487766265869,0.7861886024475098,8.177541732788086,2,0.2054944783449173
