k_reg,seed,mse,wall_time_s,effective_k,effective_k_nobypass,bypass_fraction,selection_perplexity,dead_mode_count,mean_max_p,marginal_p
NONE,42,1.1312447786331177,97.96495461463928,12.172025680541992,8.533792495727539,0.32292160391807556,5.955060958862305,14,0.5256152153015137,"[0.23765888810157776, 0.008223499171435833, 0.3808212876319885, 0.001675646984949708, 0.006871325429528952, 0.0024072397500276566, 0.0014873702311888337, 0.001880787662230432, 0.0006823691073805094, 0.0032939647790044546, 0.0029656742699444294, 0.007770349737256765, 0.011214134283363819, 0.007668273989111185, 0.004465240985155106, 0.1376206874847412, 0.026153836399316788, 0.06100020557641983, 0.09613925218582153]"
NONE,123,1.0880992412567139,213.6139793395996,10.196486473083496,8.36369800567627,0.13602331280708313,11.776161193847656,10,0.3709793984889984,"[0.13091984391212463, 0.06717744469642639, 0.010708875022828579, 0.27120575308799744, 0.006798056419938803, 0.0326530747115612, 0.03248646855354309, 0.015128612518310547, 0.09225684404373169, 0.039241187274456024, 0.09761125594377518, 0.01092138048261404, 0.061412420123815536, 0.02159741334617138, 0.024423403665423393, 0.01934180036187172, 0.016399888321757317, 0.024325622245669365, 0.02539067342877388]"
NONE,7,1.0816433429718018,147.34781789779663,16.108169555664062,11.072112083435059,0.5959064364433289,4.991828441619873,13,0.7064138650894165,"[0.03104187548160553, 0.06198577955365181, 0.03291444107890129, 0.038792241364717484, 0.4109969139099121, 0.013069355860352516, 0.004377394914627075, 0.0027082960586994886, 0.0026868495624512434, 0.005148352589458227, 0.002707026433199644, 0.0017738518072292209, 0.003128512529656291, 0.002199788810685277, 0.004233411978930235, 0.003674997016787529, 0.008768545463681221, 0.018140360713005066, 0.35165196657180786]"
K_PENALTY,42,1.2084718942642212,196.55279636383057,3.143629312515259,3.1432950496673584,2.046214103756938e-05,1.5495729446411133,17,0.9367278218269348,"[0.001749349758028984, 0.8625965118408203, 0.13026204705238342, 0.0038523233961313963, 0.0007812909898348153, 0.00033037373214028776, 0.00016225162835326046, 6.269208824960515e-05, 3.513934643706307e-05, 3.318241215310991e-05, 2.2042891941964626e-05, 1.564706144563388e-05, 1.3513388694263995e-05, 1.5220261957438197e-05, 1.3896833479520865e-05, 1.2850774510297924e-05, 1.390234592690831e-05, 1.2585645890794694e-05, 1.5119536328711547e-05]"
K_PENALTY,123,1.0913881063461304,216.16217231750488,3.8516125679016113,3.8509202003479004,4.286767216399312e-05,2.7124745845794678,15,0.8276029825210571,"[0.5097204446792603, 0.028306087478995323, 0.0008921936969272792, 0.03907286003232002, 0.4119899868965149, 0.00757077569141984, 0.0014172936789691448, 0.0003999228647444397, 0.0003142274799756706, 6.484057666966692e-05, 5.231273826211691e-05, 3.102929258602671e-05, 1.7655660485615954e-05, 2.0165358364465646e-05, 3.176702739438042e-05, 3.296146314824e-05, 1.6055162632255815e-05, 2.7711381335393526e-05, 2.1722604287788272e-05]"
K_PENALTY,7,1.1038048267364502,246.42163920402527,3.0009067058563232,3.0001189708709717,4.634559809346683e-05,1.0042487382888794,18,0.9995722770690918,"[0.00021267957345116884, 0.9995723962783813, 0.0001597214286448434, 2.581992703198921e-05, 1.4127384929452091e-05, 1.1453154911578167e-05, 1.6481307056892547e-06, 6.025876473358949e-07, 2.836089265656483e-07, 1.2488081324590894e-07, 1.0405644701450001e-07, 6.751196224286105e-08, 1.3075016624952696e-07, 1.3770946338809154e-07, 1.2487589629017748e-07, 1.3136215670783713e-07, 2.2169633950852585e-07, 1.8702529303027404e-07, 1.5856851121043292e-07]"
ELBO,42,1.115760087966919,190.0782663822174,15.469125747680664,10.969562530517578,0.4980470836162567,18.998920440673828,0,0.053742315620183945,"[0.051431745290756226, 0.05322852358222008, 0.05331666022539139, 0.05312545970082283, 0.053079694509506226, 0.05307406187057495, 0.05295710638165474, 0.05280664563179016, 0.05290208011865616, 0.05302318558096886, 0.052943456918001175, 0.05274474620819092, 0.0526566319167614, 0.052701015025377274, 0.05264997482299805, 0.051830776035785675, 0.052019692957401276, 0.05182943493127823, 0.051679130643606186]"
ELBO,123,1.1100221872329712,329.40034341812134,15.690985679626465,10.924567222595215,0.5245488286018372,18.99540138244629,0,0.05595691129565239,"[0.05309766158461571, 0.052273787558078766, 0.051997434347867966, 0.05457025766372681, 0.05565769225358963, 0.053873516619205475, 0.054017484188079834, 0.05340847000479698, 0.05209558829665184, 0.052133917808532715, 0.05202062055468559, 0.05216982960700989, 0.05217956379055977, 0.0518178753554821, 0.05257546529173851, 0.05225897952914238, 0.05175260826945305, 0.05097655579447746, 0.05112270638346672]"
ELBO,7,1.0972501039505005,237.32021522521973,16.035337448120117,11.064323425292969,0.5562173128128052,18.992158889770508,0,0.05865415930747986,"[0.05290936306118965, 0.05279132351279259, 0.052039336413145065, 0.052145909518003464, 0.05192398652434349, 0.0525483563542366, 0.05216909199953079, 0.051825519651174545, 0.05213981866836548, 0.051874399185180664, 0.05195065215229988, 0.05167434737086296, 0.05225550755858421, 0.052662111818790436, 0.051708001643419266, 0.05152297019958496, 0.05382015183568001, 0.05338503047823906, 0.05865415930747986]"
