model,mse,nll,seconds,dataset
XGB+HPO,0.3227350115776062,1.8958420753479004,2.8668582779355347,uci-yacht
LGBM+HPO,8.796473825214786,2.5429339134519124,0.7552236220799387,uci-yacht
ProbReg+HPO,206.04995727539062,2.505514144897461,269.6302735011559,uci-yacht
NN+HPO,87.89802551269531,2.18009877204895,113.375895465957,uci-yacht
